,n,prob,population
0,1,0.9999956065379696,White
1,2,0.9999423990933944,White
2,3,0.999753716570321,White
3,4,0.9991962293384731,White
4,5,0.9988162580933813,White
5,6,0.9985194493293231,White
6,7,0.9974124167803683,White
7,8,0.9960800351230401,White
8,9,0.9956061639706271,White
9,10,0.9952669832197709,White
0,1,0.999967598673546,Black
1,2,0.9997385761271632,Black
2,3,0.9986682249990231,Black
3,4,0.9977757011585,Black
4,5,0.9967162357456585,Black
5,6,0.9956441342594936,Black
6,7,0.9942209781546848,Black
7,8,0.9923232541724024,Black
8,9,0.9907421276300684,Black
9,10,0.9894327774123426,Black
0,1,0.9992756566599047,Asians
1,2,0.9843899140203719,Asians
2,3,0.9648822832344515,Asians
3,4,0.9474075778508524,Asians
4,5,0.938564360102064,Asians
5,6,0.9177827046989683,Asians
6,7,0.8848576200042454,Asians
7,8,0.8679737440435084,Asians
8,9,0.8531528444578153,Asians
9,10,0.8472032208209012,Asians
0,1,0.9997462872904733,Average
1,2,0.9946902964136433,Average
2,3,0.9877680749345985,Average
3,4,0.9814598361159419,Average
4,5,0.9780322846470346,Average
5,6,0.970648762762595,Average
6,7,0.9588303383130995,Average
7,8,0.9521256777796503,Average
8,9,0.9465003786861703,Average
9,10,0.9439676604843382,Average
