,n,prob,population
0,1,0.9999999970842566,White
1,2,0.9985901627414082,White
2,3,0.9680900529461205,White
3,4,0.8514344036620838,White
4,5,0.6591816348298909,White
5,6,0.5198000467214562,White
6,7,0.40414005668546915,White
7,8,0.26376479262544406,White
8,9,0.15652106256229625,White
9,10,0.10545439293208847,White
0,1,0.9998996112065184,Black
1,2,0.9949415288873497,Black
2,3,0.9621261970393606,Black
3,4,0.8611690657804045,Black
4,5,0.719833548709287,Black
5,6,0.5757697556357915,Black
6,7,0.44246173269301003,Black
7,8,0.31444071570539966,Black
8,9,0.21395073341512816,Black
9,10,0.13567585215715638,Black
0,1,1.0,Asians
1,2,0.9891039267026117,Asians
2,3,0.9485925447954734,Asians
3,4,0.847888236143903,Asians
4,5,0.7615873796894311,Asians
5,6,0.7033261010408325,Asians
6,7,0.5972421540340719,Asians
7,8,0.4486963992684544,Asians
8,9,0.34941873836227966,Asians
9,10,0.2655334356906701,Asians
0,1,0.9999665360969251,Average
1,2,0.9942118727771231,Average
2,3,0.9596029315936515,Average
3,4,0.8534972351954638,Average
4,5,0.7135341877428697,Average
5,6,0.59963196779936,Average
6,7,0.4812813144708503,Average
7,8,0.34230063586643267,Average
8,9,0.23996351144656802,Average
9,10,0.168887893593305,Average
