,n,prob,population
0,1,0.9999999970842566,White
1,2,0.9999995057164979,White
2,3,0.9998802352325314,White
3,4,0.9996005369825189,White
4,5,0.9984993194537933,White
5,6,0.995456617511455,White
6,7,0.9863311706144484,White
7,8,0.9546655638831475,White
8,9,0.9219332159841351,White
9,10,0.8692260088934015,White
0,1,0.9999086178430601,Black
1,2,0.9996537224692983,Black
2,3,0.998224726184131,Black
3,4,0.9960691345412355,Black
4,5,0.990688202226413,Black
5,6,0.9785976662407181,Black
6,7,0.9568079331225731,Black
7,8,0.9240583895866852,Black
8,9,0.8799412951945743,Black
9,10,0.8202079667383394,Black
0,1,1.0,Asians
1,2,0.9999887284235458,Asians
2,3,0.9999180310152038,Asians
3,4,0.9866645465555817,Asians
4,5,0.9855082463925072,Asians
5,6,0.9823911748362447,Asians
6,7,0.9772547548436229,Asians
7,8,0.954803346433805,Asians
8,9,0.9215162166604604,Asians
9,10,0.8764373508746978,Asians
0,1,0.9999695383091055,Average
1,2,0.999880652203114,Average
2,3,0.9993409974772888,Average
3,4,0.9941114060264452,Average
4,5,0.9915652560242378,Average
5,6,0.9854818195294727,Average
6,7,0.9734646195268816,Average
7,8,0.9445090999678794,Average
8,9,0.9077969092797232,Average
9,10,0.8552904421688129,Average
