,n,prob,population
0,1,0.9999956065379696,White
1,2,0.9999765724350748,White
2,3,0.999854595536464,White
3,4,0.9993274171428873,White
4,5,0.9990530142485403,White
5,6,0.9985377832500084,White
6,7,0.9973817759885081,White
7,8,0.9922268004039168,White
8,9,0.9898079483340972,White
9,10,0.9866607156325333,White
0,1,0.999967598673546,Black
1,2,0.9999481069722048,Black
2,3,0.9996967035409071,Black
3,4,0.9985883008509032,Black
4,5,0.9981226886910514,Black
5,6,0.9974237766797478,Black
6,7,0.9952930480454483,Black
7,8,0.9934108441676716,Black
8,9,0.9916952631829941,Black
9,10,0.9885954341794658,Black
0,1,0.9992756566599047,Asians
1,2,0.998927312441921,Asians
2,3,0.9888525402068935,Asians
3,4,0.9808563532007663,Asians
4,5,0.9673459109670147,Asians
5,6,0.9523997388794427,Asians
6,7,0.9404862955776464,Asians
7,8,0.9194709582637132,Asians
8,9,0.8947011976177253,Asians
9,10,0.8709952233757571,Asians
0,1,0.9997462872904733,Average
1,2,0.9996173306164002,Average
2,3,0.9961346130947549,Average
3,4,0.9929240237315189,Average
4,5,0.9881738713022021,Average
5,6,0.9827870996030663,Average
6,7,0.9777203732038675,Average
7,8,0.9683695342784339,Average
8,9,0.9587348030449389,Average
9,10,0.9487504577292522,Average
