,n,prob,population
0,1,0.9999956065379696,White
1,2,0.9997299608020166,White
2,3,0.9973297857000927,White
3,4,0.9850428670122789,White
4,5,0.954572770996789,White
5,6,0.9056420088944706,White
6,7,0.8445976878493474,White
7,8,0.7741682816698203,White
8,9,0.6947183222383835,White
9,10,0.6122945176309474,White
0,1,0.999967598673546,Black
1,2,0.9990996259778745,Black
2,3,0.9950441623894979,Black
3,4,0.9840535985435153,Black
4,5,0.9579737311362485,Black
5,6,0.9167119462291726,Black
6,7,0.8632639086584892,Black
7,8,0.7994527534338273,Black
8,9,0.7272892895167646,Black
9,10,0.6449314024932686,Black
0,1,0.9992756566599047,Asians
1,2,0.9890979891944583,Asians
2,3,0.9526567801585636,Asians
3,4,0.8670699986708883,Asians
4,5,0.7571060272039967,Asians
5,6,0.6006401813652414,Asians
6,7,0.4656841367418143,Asians
7,8,0.362543020002994,Asians
8,9,0.2723437465844927,Asians
9,10,0.19721316672005518,Asians
0,1,0.9997462872904733,Average
1,2,0.9959758586581166,Average
2,3,0.9816769094160515,Average
3,4,0.9453888214088941,Average
4,5,0.8898841764456781,Average
5,6,0.8076647121629615,Average
6,7,0.7245152444165504,Average
7,8,0.6453880183688806,Average
8,9,0.5647837861132136,Average
9,10,0.48481302894809036,Average
