,n,prob,population
0,1,0.9324106279145923,White
1,2,0.8367136717549868,White
2,3,0.6753639095273803,White
3,4,0.48771784014269404,White
4,5,0.29863981015532337,White
5,6,0.15653357061749884,White
6,7,0.07534983017682062,White
7,8,0.029469626097605395,White
8,9,0.009550352486247471,White
9,10,0.0018034822018303531,White
0,1,0.9740684491194693,Black
1,2,0.894732210588356,Black
2,3,0.7546475274970825,Black
3,4,0.5861527615389821,Black
4,5,0.42064019258116425,Black
5,6,0.27889864273199505,Black
6,7,0.17234041144452206,Black
7,8,0.09658782716305636,Black
8,9,0.04833541110722028,Black
9,10,0.01954018369891264,Black
0,1,0.9929693702093016,Asians
1,2,0.8931501519658557,Asians
2,3,0.6979201645943787,Asians
3,4,0.48198188109670137,Asians
4,5,0.3583174387245811,Asians
5,6,0.24874526760861237,Asians
6,7,0.11306077906024325,Asians
7,8,0.0378473463837683,Asians
8,9,0.008048792770569912,Asians
9,10,0.002700961412219649,Asians
0,1,0.9664828157477877,Average
1,2,0.8748653447697329,Average
2,3,0.7093105338729471,Average
3,4,0.5186174942594591,Average
4,5,0.35919914715368956,Average
5,6,0.22805916031936876,Average
6,7,0.12025034022719532,Average
7,8,0.05463493321481002,Average
8,9,0.021978185454679222,Average
9,10,0.008014875770987548,Average
