,n,prob,population
0,1,0.999624665852582,White
1,2,0.9969207787230225,White
2,3,0.9957035200124891,White
3,4,0.9952251132360848,White
4,5,0.9915232322806534,White
5,6,0.990408983245581,White
6,7,0.9884152687641332,White
7,8,0.9729065458518088,White
8,9,0.9643457291967877,White
9,10,0.9631974507490949,White
0,1,0.9983340907973062,Black
1,2,0.9957298834453079,Black
2,3,0.9952172039734083,Black
3,4,0.9925199834365421,Black
4,5,0.9859145324218035,Black
5,6,0.982768350481519,Black
6,7,0.9791003342155793,Black
7,8,0.9743458485265324,Black
8,9,0.9703020724933931,Black
9,10,0.9668553113705247,Black
0,1,0.986187637872863,Asians
1,2,0.9546204244827352,Asians
2,3,0.9470546665697208,Asians
3,4,0.8669686034224653,Asians
4,5,0.8168991975270972,Asians
5,6,0.8129749429392722,Asians
6,7,0.7855435129064847,Asians
7,8,0.7452085211565542,Asians
8,9,0.7258657719472842,Asians
9,10,0.7202910098635167,Asians
0,1,0.9947154648409171,Average
1,2,0.9824236955503552,Average
2,3,0.9793251301852061,Average
3,4,0.9515712333650308,Average
4,5,0.931445654076518,Average
5,6,0.9287174255554573,Average
6,7,0.9176863719620657,Average
7,8,0.8974869718449652,Average
8,9,0.886837857879155,Average
9,10,0.8834479239943788,Average
