,n,prob,population
0,1,0.9999956065379696,White
1,2,0.9997189791620534,White
2,3,0.9971687749226154,White
3,4,0.9830731302665655,White
4,5,0.9463754871963226,White
5,6,0.886671810369225,White
6,7,0.8146931881768167,White
7,8,0.7169797426234839,White
8,9,0.60965632111003,White
9,10,0.500609735386731,White
0,1,0.999967598673546,Black
1,2,0.9988901442175632,Black
2,3,0.9937411508445022,Black
3,4,0.9789508706985679,Black
4,5,0.9469991393181176,Black
5,6,0.8937970197558467,Black
6,7,0.8271189751417304,Black
7,8,0.7422577416505163,Black
8,9,0.6374649656988538,Black
9,10,0.5225723912380876,Black
0,1,0.9992756566599047,Asians
1,2,0.9891352519095645,Asians
2,3,0.9701002844707531,Asians
3,4,0.8901849616815385,Asians
4,5,0.7874285922674902,Asians
5,6,0.6465351045177056,Asians
6,7,0.4618369964521323,Asians
7,8,0.34767339750816684,Asians
8,9,0.21737890230557444,Asians
9,10,0.1359898833492027,Asians
0,1,0.9997462872904733,Average
1,2,0.9959147917630604,Average
2,3,0.9870034034126235,Average
3,4,0.9507363208822239,Average
4,5,0.8936010729273102,Average
5,6,0.8090013115475925,Average
6,7,0.7012163865902264,Average
7,8,0.6023036272607224,Average
8,9,0.48816672970481934,Average
9,10,0.3863906699913405,Average
