,n,prob,population
0,1,0.9999956065379696,White
1,2,0.9999880346489497,White
2,3,0.9998808796133517,White
3,4,0.9995031204431344,White
4,5,0.9994206321618553,White
5,6,0.9992436757374342,White
6,7,0.9991870156385131,White
7,8,0.9991409819956653,White
8,9,0.9990522994015095,White
9,10,0.9989407200191516,White
0,1,0.999967598673546,Black
1,2,0.9999553734644477,Black
2,3,0.9997075614620934,Black
3,4,0.9986985239807019,Black
4,5,0.9983858484418124,Black
5,6,0.9978455715855515,Black
6,7,0.9975163824916558,Black
7,8,0.9974768495902123,Black
8,9,0.997435774620574,Black
9,10,0.9966947262369669,Black
0,1,0.9992756566599047,Asians
1,2,0.9991620648735624,Asians
2,3,0.9896738137968512,Asians
3,4,0.9891196853053986,Asians
4,5,0.9840338526995527,Asians
5,6,0.9836984806023789,Asians
6,7,0.9834129961155391,Asians
7,8,0.982205552611917,Asians
8,9,0.9811273820761159,Asians
9,10,0.9808118261806381,Asians
0,1,0.9997462872904733,Average
1,2,0.9997018243289867,Average
2,3,0.9964207516240987,Average
3,4,0.9957737765764118,Average
4,5,0.9939467777677402,Average
5,6,0.9935959093084549,Average
6,7,0.993372131415236,Average
7,8,0.9929411280659316,Average
8,9,0.9925384853660665,Average
9,10,0.9921490908122522,Average
